﻿id;name;recipe_category;picture;portion_number;portion_unit;cook_counter;favorite;bookmark;last cooked;last_updated;inspired_by;description;tip
182;Gazpacho;5;assets/images/recipes/gazpacho.webp;1;Port.;0;0;0;;;;;
183;Brokkoli-Tomaten-Süßkartoffel-Suppe;5;assets/images/recipes/brokkoli-tomaten-suesskartoffel-suppe.webp;1;Port.;0;0;0;;;;;
184;Baked Beans;5;assets/images/recipes/baked_beans.webp;2;Port.;0;0;0;;;;;
185;Möhren-Suppe mit gerösteten Cashews;5;assets/images/recipes/moehren-suppe_mit_geroesteten_cashews.webp;1;Port.;0;0;0;;;;;
186;Kürbissuppe;5;assets/images/recipes/kuerbissuppe.webp;2;Port.;0;0;0;;;;;
187;Tempeh-Salat-Wraps;5;assets/images/recipes/tempeh-salat-wraps.webp;2;Port.;0;0;0;;;;;
188;gefüllte Ofen-Paprika;5;assets/images/recipes/gefuellte_ofen-paprika.webp;4;Port.;0;0;0;;;;;
189;gefüllte Curry-Riesenschampignons;5;assets/images/recipes/gefuellte_curry-riesenschampignons.webp;4;Port.;0;0;0;;;;;
190;Bohnen-Walnuss-Würstchen;5;assets/images/recipes/bohnen-walnuss-wuerstchen.webp;6;Port.;0;0;0;;;;;
191;Süßkartoffel-Sticks;5;assets/images/recipes/suesskartoffel-sticks.webp;1;Port.;0;0;0;;;;;
192;geröstete Miso-Kichererbsen;5;assets/images/recipes/geroestete_miso-kichererbsen.webp;1;Port.;0;0;0;;;;;
193;Brokkoli-Tomaten-Kichererbsen-Ofengemüse;5;assets/images/recipes/brokkoli-tomaten-kichererbsen-ofengemuese.webp;1;Port.;0;0;0;;;;;
194;Rosenkohl-Kürbis-rote Beete-Ofengemüse;5;assets/images/recipes/rosenkohl-kuerbis-rote_beete-ofengemuese.webp;1;Port.;0;0;0;;;;;
195;Blumenkohl-Möhren-Curry-Ofengemüse;5;assets/images/recipes/blumenkohl-moehren-curry-ofengemuese.webp;1;Port.;0;0;0;;;;;
196;Wurzelgemüse-Fenchel-Ofengemüse;5;assets/images/recipes/wurzelgemuese-fenchel-ofengemuese.webp;1;Port.;0;0;0;;;;;
197;Vollkorn-Wraps;6;assets/images/recipes/vollkorn-wraps.webp;2;Wrp.;0;0;0;;;;;
198;Spinat-Vollkorn-Wrap;6;assets/images/recipes/spinat-vollkorn-wrap.webp;2;Wrp.;0;0;0;;;;;
199;Chili-Vollkorn-Wrap;6;assets/images/recipes/chili-vollkorn-wrap.webp;2;Wrp.;0;0;0;;;;;
200;rote Beete-Vollkorn-Wrap;6;assets/images/recipes/rote_beete-vollkorn-wrap.webp;2;Wrp.;0;0;0;;;;;
201;Rotkohl-Vollkorn-Wrap;6;assets/images/recipes/rotkohl-vollkorn-wrap.webp;2;Wrp.;0;0;0;;;;;
202;Curry-Vollkorn-Wrap;6;assets/images/recipes/curry-vollkorn-wrap.webp;2;Wrp.;0;0;0;;;;;
203;Beeren-Vollkorn-Wrap;6;assets/images/recipes/beeren-vollkorn-wrap.webp;2;Wrp.;0;0;0;;;;;
204;Süßkartoffel-Vollkorn-Wrap;6;assets/images/recipes/suesskartoffel-vollkorn-wrap.webp;2;Wrp.;0;0;0;;;;;
205;scrambled Tofu-Wrap;6;assets/images/recipes/scrambled_tofu-wrap.webp;1;Port.;0;0;0;;;;;
206;Quinoa-Linsen-Wrap;6;assets/images/recipes/quinoa-linsen-wrap.webp;1;Port.;0;0;0;;;;;
